H|U2222116|Position|20221205|04:14:41|20221202|1.98|
Type|AccountID|ConID|SecurityID|Symbol|BBTicker|BBGlobalID|SecurityDescription|AssetType|Currency|BaseCurrency|Quantity|QuantityInBase|CostPrice|CostBasis|CostBasisInBase|MarketPrice|MarketValue|MarketValueInBase|OpenDateTime|FxRateToBase|ReportDate|SettledQuantity|SettledQuantityInBase|MasterAccountID|Van|AccruedInt|OriginatingOrderID|Multiplier|
D|U2222116|518733651||EEM   221216P00035000|EEM 12 P35|BBG012SYNV32|EEM 16DEC22 35 P|OPT|USD|USD|200|0|1.2744915|25489.83|25489.83|0.0354|708|708||1|20221202|0|0|||0||100|
D|U2222116|518733691||EEM   221216P00036000|EEM 12 P36|BBG012SYNW76|EEM 16DEC22 36 P|OPT|USD|USD|200|0|1.2719915|25439.83|25439.83|0.0851|1702|1702||1|20221202|0|0|||0||100|
D|U2222116|532052491||EFA   221216P00055000|EFA 12 P55|BBG0140L6XD0|EFA 16DEC22 55 P|OPT|USD|USD|195|0|1.8676356|36418.89425|36418.89425|0.0465|906.75|906.75||1|20221202|0|0|||0||100|
D|U2222116|551053248||EFA   221216P00057000|EFA 12 P57|BBG0163XVWD0|EFA 16DEC22 57 P|OPT|USD|USD|150|0|2.35365817|35304.8725|35304.8725|0.0571|856.5|856.5||1|20221202|0|0|||0||100|
D|U2222116|89553569|US46429B6552|FLOT|FLOT|BBG001QWVB81|ISHARES FLOATING RATE BOND E|STK|USD|USD|31000|0|50.25273599|1557834.815826|1557834.815826|50.16|1554960|1554960||1|20221202|0|0|||0||1|
D|U2222116|229726228|US92189F4037|RSX|RSX|BBG000R7TT45|VANECK RUSSIA ETF|STK|USD|USD|-20000|0|14.0979189|-281958.378|-281958.378|0.98|-19600|-19600||1|20221202|0|0|||0||1|
D|U2222116|396981380||SPY   221216P00330000|SPY 12 P330|BBG00R6DZHP2|SPY 16DEC22 330 P|OPT|USD|USD|49|0|6.86674048|33647.02835|33647.02835|0.0595|291.55|291.55||1|20221202|0|0|||0||100|
D|U2222116|396981431||SPY   221216P00350000|SPY 12 P350|BBG00R6DZN42|SPY 16DEC22 350 P|OPT|USD|USD|50|0|8.0006915|40003.4575|40003.4575|0.1126|563|563||1|20221202|0|0|||0||100|
D|U2222116|397261785||SPY   221216P00360000|SPY 12 P360|BBG00R72QNL6|SPY 16DEC22 360 P|OPT|USD|USD|35|0|14.9663915|52382.37025|52382.37025|0.1706|597.1|597.1||1|20221202|0|0|||0||100|
D|U2222116|397261797||SPY   221216P00370000|SPY 12 P370|BBG00R72QQS2|SPY 16DEC22 370 P|OPT|USD|USD|25|0|13.9106915|34776.72875|34776.72875|0.295|737.5|737.5||1|20221202|0|0|||0||100|
D|U2222116|592856836||TUR   221216P00025000|TUR 12 P25|BBG01B4PTDN9|TUR 16DEC22 25 P|OPT|USD|USD|200|0|0.2010815|4021.63|4021.63|0.03|600|600||1|20221202|0|0|||0||100|
D|U2222116|592856916||TUR   221216P00028000|TUR 12 P28|BBG01B4PTHT4|TUR 16DEC22 28 P|OPT|USD|USD|200|0|0.5068815|10137.63|10137.63|0.0995|1990|1990||1|20221202|0|0|||0||100|
D|U2222116|45444192|US9219438580|VEA|VEA|BBG000QVFB47|VANGUARD FTSE DEVELOPED ETF|STK|USD|USD|25000|0|41.0027023|1025067.557412|1025067.557412|43.74|1093500|1093500||1|20221202|0|0|||0||1|
D|U2222116|12340041|US9229087690|VTI|VTI|BBG000HR9779|VANGUARD TOTAL STOCK MKT ETF|STK|USD|USD|6300|0|205.74683401|1296205.054263|1296205.054263|203.99|1285137|1285137||1|20221202|0|0|||0||1|
D|U2222116|27684033|US9220428588|VWO|VWO|BBG000HT88C8|VANGUARD FTSE EMERGING MARKE|STK|USD|USD|25000|0|41.13725404|1028431.350887|1028431.350887|40.67|1016750|1016750||1|20221202|0|0|||0||1|
D|U2222116|||||||CASH|CHF|USD|4917.91932005|5249.87887416|0|0|0|0|0|0||1.0675|20221202|4917.91932005|5249.87887416|||0||1|
D|U2222116|||||||CASH|MXN|USD|-71685.31592|-3697.09848326|0|0|0|0|0|0||0.051574|20221202|-71685.31592|-3697.09848326|||0||1|
