H|U2222116|Activity|20221205|04:14:41|20221202|1.98|
Type|AccountID|ConID|SecurityID|Symbol|BBTicker|BBGlobalID|SecurityDescription|AssetType|Currency|BaseCurrency|TradeDate|TradeTime|SettleDate|TransactionType|Quantity|UnitPrice|GrossAmount|SECFee|Commission|Tax|Net|NetInBase|TradeID|TaxBasisElection|Description|FxRateToBase|ContraPartyName|ClrFirmID|Exchange|MasterAccountID|Van|AwayBrokerCommission|OrderID|ClientReference|TransactionID|
D|U2222116||||||||USD|USD|20221202||20221202|OFEE|0|0|-125|0|0|0|-125|-125|||OFRISTROM017:ABCOPRAPRO FOR DEC 2022|1||||||0|||22375105120|
D|U2222116||||||||USD|USD|20221202||20221202|OFEE|0|0|-10|0|0|0|-10|-10|||OFRISTROM017:SNAPSHOTVALUEPRO FOR DEC 2022|1||||||0|||22375105109|
D|U2222116||||||||USD|USD|20221202||20221202|OFEE|0|0|10|0|0|0|10|10|||OFRISTROM017:SNAPSHOTVALUEPRO FOR NOV 2022|1||||||0|||22375105094|
D|U2222116||||||||AUD|USD|20221202||20221202|INTACC|0|0|-38.73|0|0|0|-38.73|-26.3150985|||INTEREST ACCRUAL POSTING|0.67945||||||0||||
D|U2222116||||||||CAD|USD|20221202||20221202|INTACC|0|0|3.92|0|0|0|3.92|2.9096592|||INTEREST ACCRUAL POSTING|0.74226||||||0||||
D|U2222116||||||||CNH|USD|20221202||20221202|INTACC|0|0|-11.41|0|0|0|-11.41|-1.6258109|||INTEREST ACCRUAL POSTING|0.14249||||||0||||
D|U2222116||||||||EUR|USD|20221202||20221202|INTACC|0|0|-10.87|0|0|0|-10.87|-11.45698|||INTEREST ACCRUAL POSTING|1.054||||||0||||
D|U2222116||||||||GBP|USD|20221202||20221202|INTACC|0|0|1.42|0|0|0|1.42|1.745464|||INTEREST ACCRUAL POSTING|1.2292||||||0||||
D|U2222116||||||||HKD|USD|20221202||20221202|INTACC|0|0|59.07|0|0|0|59.07|7.5834066|||INTEREST ACCRUAL POSTING|0.12838||||||0||||
D|U2222116||||||||JPY|USD|20221202||20221202|INTACC|0|0|-1219|0|0|0|-1219|-9.0756988|||INTEREST ACCRUAL POSTING|0.0074452||||||0||||
D|U2222116||||||||MXN|USD|20221202||20221202|INTACC|0|0|-25.8|0|0|0|-25.8|-1.3306092|||INTEREST ACCRUAL POSTING|0.051574||||||0||||
D|U2222116||||||||NOK|USD|20221202||20221202|INTACC|0|0|-15.7|0|0|0|-15.7|-1.606738|||INTEREST ACCRUAL POSTING|0.10234||||||0||||
D|U2222116||||||||SEK|USD|20221202||20221202|INTACC|0|0|-95.05|0|0|0|-95.05|-9.21272125|||INTEREST ACCRUAL POSTING|0.096925||||||0||||
D|U2222116||||||||SGD|USD|20221202||20221202|INTACC|0|0|-9.39|0|0|0|-9.39|-6.9430599|||INTEREST ACCRUAL POSTING|0.73941||||||0||||
D|U2222116||||||||USD|USD|20221202||20221202|INTACC|0|0|37.58|0|0|0|37.58|37.58|||INTEREST ACCRUAL POSTING|1||||||0||||
T|18|
